model_name,model_class,true_positives,false_positives,false_negatives,precision,recall,f1_score,model_count,ref_count
model_3_700.pth.tar,Rhinolophus ferrumequinum,16,0,24,1.0,0.4,0.5714285714285715,16,40
model_3_700.pth.tar,Pipistrellus pygmaeus,43,4,61,0.9148936170212766,0.41346153846153844,0.5695364238410596,47,104
model_3_700.pth.tar,Plecotus auritus,10,15,40,0.4,0.2,0.26666666666666666,25,50
model_3_700.pth.tar,Myotis daubentonii,47,9,73,0.8392857142857143,0.39166666666666666,0.5340909090909091,56,120
model_3_700.pth.tar,Myotis mystacinus,11,1,51,0.9166666666666666,0.1774193548387097,0.2972972972972973,12,62
model_3_700.pth.tar,Nyctalus noctula,1,2,49,0.3333333333333333,0.02,0.03773584905660377,3,50
model_3_700.pth.tar,Pipistrellus nathusii,12,2,20,0.8571428571428571,0.375,0.5217391304347825,14,32
model_3_700.pth.tar,Plecotus austriacus,8,1,14,0.8888888888888888,0.36363636363636365,0.5161290322580644,9,22
model_3_700.pth.tar,Myotis nattereri,24,7,40,0.7741935483870968,0.375,0.5052631578947367,31,64
model_3_700.pth.tar,Nyctalus leisleri,13,20,19,0.3939393939393939,0.40625,0.4,33,32
model_3_700.pth.tar,Myotis alcathoe,11,14,37,0.44,0.22916666666666666,0.3013698630136986,25,48
model_3_700.pth.tar,Myotis brandtii,8,10,12,0.4444444444444444,0.4,0.4210526315789474,18,20
model_3_700.pth.tar,Eptesicus serotinus,18,23,62,0.43902439024390244,0.225,0.2975206611570248,41,80
model_3_700.pth.tar,Barbastella barbastellus,46,8,48,0.8518518518518519,0.48936170212765956,0.6216216216216216,54,94
model_3_700.pth.tar,Pipistrellus pipistrellus,38,3,46,0.926829268292683,0.4523809523809524,0.608,41,84
model_3_700.pth.tar,Rhinolophus hipposideros,34,7,32,0.8292682926829268,0.5151515151515151,0.6355140186915889,41,66
model_3_700.pth.tar,Myotis bechsteinii,12,8,24,0.6,0.3333333333333333,0.42857142857142855,20,36
